,Name,Designation,Dateestablished,Land area(square miles),Population(in 2010)[1],Population(in 2020)[1],Change,Form ofgovernment,County,Council of Governments,Native Americanname
0,Andover,Town,1848,15.46,3303,3151,−4.6%,Town meeting,Tolland County,Capitol Region,
1,Ansonia,City,1889,6.03,19249,18918,−1.7%,Mayor-council,New Haven County,Naugatuck Valley,
2,Ashford,Town,1714,38.79,4317,4191,−2.9%,Town meeting,Windham County,Northeast CT,
3,Avon,Town,1830,23.12,18098,18932,+4.6%,Council-manager,Hartford County,Capitol Region,
4,Barkhamsted,Town,1779,36.22,3799,3647,−4.0%,Town meeting,Litchfield County,Northwest Hills,
5,Beacon Falls,Town,1871,9.78,6049,6000,−0.8%,Town meeting,New Haven County,Naugatuck Valley,
6,Berlin,Town,1785,26.45,19866,20175,+1.6%,Council-manager,Hartford County,Capitol Region,
7,Bethany,Town,1832,20.97,5563,5297,−4.8%,Town meeting,New Haven County,South Central,
8,Bethel,Town,1855,16.79,18584,20358,+9.5%,Town meeting,Fairfield County,Western CT,
9,Bethlehem,Town,1787,19.36,3607,3385,−6.2%,Town meeting,Litchfield County,Naugatuck Valley,
10,Bloomfield,Town,1835,26.01,20486,21535,+5.1%,Council-manager,Hartford County,Capitol Region,
11,Bolton,Town,1720,14.41,4980,4858,−2.4%,Town meeting,Tolland County,Capitol Region,
12,Bozrah,Town,1786,19.97,2627,2429,−7.5%,Town meeting,New London County,Southeastern CT,
13,Branford,Town,1685,21.98,28026,28273,+0.9%,Representative town meeting,New Haven County,South Central,Totoket
14,Bridgeport,City,1821,16.0,144229,148654,+3.1%,Mayor-council,Fairfield County,CT Metropolitan,Pequonock
15,Bridgewater,Town,1856,16.23,1727,1662,−3.8%,Town meeting,Litchfield County,Western CT,
16,Bristol,City,1785,26.51,60477,60833,+0.6%,Mayor-council,Hartford County,Naugatuck Valley,
17,Brookfield,Town,1788,19.8,16452,17528,+6.5%,Town meeting,Fairfield County,Western CT,
18,Brooklyn,Town,1786,28.97,8210,8450,+2.9%,Town meeting,Windham County,Northeast CT,
19,Burlington,Town,1806,29.8,9301,9519,+2.3%,Town meeting,Hartford County,Northwest Hills,
20,Canaan,Town,1739,32.95,1234,1080,−12.5%,Town meeting,Litchfield County,Northwest Hills,
21,Canterbury,Town,1703,39.9,5132,5045,−1.7%,Town meeting,Windham County,Northeast CT,Peagscomsueck
22,Canton,Town,1806,24.57,10292,10124,−1.6%,Town meeting,Hartford County,Capitol Region,
23,Chaplin,Town,1822,19.43,2305,2151,−6.7%,Town meeting,Windham County,Northeast CT,
24,Cheshire,Town,1780,32.91,29261,28733,−1.8%,Council-manager,New Haven County,Naugatuck Valley,
25,Chester,Town,1836,16.03,3994,3749,−6.1%,Town meeting,Middlesex County,Lower CT River,
26,Clinton,Town,1838,16.28,13260,13185,−0.6%,Town meeting,Middlesex County,Lower CT River,
27,Colchester,Town,1698,49.06,16068,15555,−3.2%,Town meeting,New London County,Southeastern CT,
28,Colebrook,Town,1779,31.47,1485,1361,−8.4%,Town meeting,Litchfield County,Northwest Hills,
29,Columbia,Town,1804,21.36,5485,5272,−3.9%,Town meeting,Tolland County,Capitol Region,
30,Cornwall,Town,1740,46.01,1420,1567,+10.4%,Town meeting,Litchfield County,Northwest Hills,
31,Coventry,Town,1712,37.72,12435,12235,−1.6%,Council-manager,Tolland County,Capitol Region,
32,Cromwell,Town,1851,12.39,14005,14225,+1.6%,Town meeting,Middlesex County,Lower CT River,
33,Danbury,City,1687,42.11,80893,86518,+7.0%,Mayor-council,Fairfield County,Western CT,Pahquioque
34,Darien,Town,1820,12.86,20732,21499,+3.7%,Representative town meeting,Fairfield County,Western CT,
35,Deep River,Town,1635,13.55,4629,4415,−4.6%,Town meeting,Middlesex County,Lower CT River,Pattaquasset
36,Derby,City,1675,4.98,12902,12325,−4.5%,Mayor-council,New Haven County,Naugatuck Valley,Paugasset
37,Durham,Town,1708,23.6,7388,7152,−3.2%,Town meeting,Middlesex County,Lower CT River,Coginchaug
38,East Granby,Town,1858,17.48,5148,5214,+1.3%,Town meeting,Hartford County,Capitol Region,
39,East Haddam,Town,1734,54.33,9126,8875,−2.8%,Town meeting,Middlesex County,Lower CT River,Macki-moodus
40,East Hampton,Town,1767,35.59,12959,12717,−1.9%,Council-manager,Middlesex County,Lower CT River,
41,East Hartford,Town,1783,18.02,51252,51045,−0.4%,Mayor-council,Hartford County,Capitol Region,Podunk[2]
42,East Haven,Town,1785,12.26,29257,27923,−4.6%,Mayor-council,New Haven County,South Central,
43,East Lyme,Town,1839,34.03,19159,18693,−2.4%,Town meeting,New London County,Southeastern CT,
44,East Windsor,Town,1768,26.29,11162,11190,+0.3%,Town meeting,Hartford County,Capitol Region,
45,Eastford,Town,1847,28.89,1749,1649,−5.7%,Town meeting,Windham County,Northeast CT,
46,Easton,Town,1845,27.42,7490,7605,+1.5%,Town meeting,Fairfield County,CT Metropolitan,
47,Ellington,Town,1786,34.05,15602,16426,+5.3%,Town meeting,Tolland County,Capitol Region,
48,Enfield,Town,1683,33.38,44654,42141,−5.6%,Council-manager,Hartford County,Capitol Region,
49,Essex,Town,1852,10.36,6683,6733,+0.7%,Town meeting,Middlesex County,Lower CT River,Patapoug
50,Fairfield,Town,1666,30.03,59404,61512,+3.5%,Representative town meeting,Fairfield County,CT Metropolitan,Uncoway
51,Farmington,Town,1645,28.06,25340,26712,+5.4%,Council-manager,Hartford County,Capitol Region,
52,Franklin,Town,1786,19.51,1922,1863,−3.1%,Town meeting,New London County,Southeastern CT,
53,Glastonbury,Town,1690,51.37,34427,35159,+2.1%,Council-manager,Hartford County,Capitol Region,
54,Goshen,Town,1739,43.66,2976,3150,+5.8%,Town meeting,Litchfield County,Northwest Hills,
55,Granby,Town,1786,40.69,11282,10903,−3.4%,Council-manager,Hartford County,Capitol Region,
56,Greenwich,Town,1665,47.83,61171,63518,+3.8%,Representative town meeting,Fairfield County,Western CT,Patuquapaen
57,Griswold,Town,1815,34.95,11951,11402,−4.6%,Town meeting,New London County,Southeastern CT,
58,Groton,Town,1705,31.3,40115,38411,−4.2%,Representative town meeting,New London County,Southeastern CT,
59,Guilford,Town,1639,47.05,22375,22073,−1.3%,Town meeting,New Haven County,South Central,Menunkatuck
60,Haddam,Town,1662,44.03,8346,8452,+1.3%,Town meeting,Middlesex County,Lower CT River,
61,Hamden,Town,1786,32.78,60960,61169,+0.3%,Mayor-council,New Haven County,South Central,
62,Hampton,Town,1786,25.0,1863,1728,−7.2%,Town meeting,Windham County,Northeast CT,
63,Hartford,City,1635,17.31,124775,121054,−3.0%,Mayor-council,Hartford County,Capitol Region,Suckiag
64,Hartland,Town,1761,33.03,2114,1901,−10.1%,Town meeting,Hartford County,Northwest Hills,
65,Harwinton,Town,1737,30.75,5642,5484,−2.8%,Town meeting,Litchfield County,Northwest Hills,
66,Hebron,Town,1708,36.9,9686,9098,−6.1%,Town meeting,Tolland County,Capitol Region,
67,Kent,Town,1739,48.47,2979,3019,+1.3%,Town meeting,Litchfield County,Northwest Hills,Scatacook
68,Killingly,Town,1708,48.52,17370,17752,+2.2%,Council-manager,Windham County,Northeast CT,Aspinock
69,Killingworth,Town,1667,35.33,6525,6174,−5.4%,Town meeting,Middlesex County,Lower CT River,Hammonasset
70,Lebanon,Town,1700,54.11,7308,7142,−2.3%,Town meeting,New London County,Southeastern CT,
71,Ledyard,Town,1836,38.14,15051,15413,+2.4%,Mayor-council,New London County,Southeastern CT,
72,Lisbon,Town,1786,16.26,4338,4195,−3.3%,Town meeting,New London County,Southeastern CT,
73,Litchfield,Town,1719,56.06,8466,8192,−3.2%,Town meeting,Litchfield County,Northwest Hills,Bantam
74,Lyme,Town,1667,31.85,2406,2352,−2.2%,Town meeting,New London County,Lower CT River,
75,Madison,Town,1826,36.2,18269,17691,−3.2%,Town meeting,New Haven County,South Central,
76,Manchester,Town,1823,27.26,58241,59713,+2.5%,Council-manager,Hartford County,Capitol Region,
77,Mansfield,Town,1702,44.46,26543,25892,−2.5%,Council-manager,Tolland County,Capitol Region,Noubesetuck
78,Marlborough,Town,1803,23.28,6404,6133,−4.2%,Town meeting,Hartford County,Capitol Region,
79,Meriden,City,1806,23.75,60868,60850,,Council-manager,New Haven County,South Central,
80,Middlebury,Town,1807,17.75,7575,7574,,Town meeting,New Haven County,Naugatuck Valley,
81,Middlefield,Town,1866,12.7,4425,4217,−4.7%,Town meeting,Middlesex County,Lower CT River,
