,Municipality *,FTA Warrants,VOP Warrants,OTI Warrants,Total Warrants,"Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants 
 For Month","Warrants 
Foreign Served 
For Month"
0,Andover,2,1,0,3,2,2,0,0
1,Ansonia,218,25,0,243,112,9,10,6
2,Ashford,36,4,1,41,22,12,1,0
3,Avon,15,1,0,16,7,0,0,0
4,Barkhamsted,7,1,0,8,5,0,0,0
5,Beacon Falls,18,7,0,25,22,1,0,0
6,Berlin,30,10,0,40,38,1,4,2
7,Bethany,13,0,0,13,9,0,2,2
8,Bethel,86,8,0,94,39,1,6,3
9,Bethlehem,8,0,0,8,5,0,0,0
10,Bloomfield,89,17,0,106,44,9,11,8
11,Bolton,8,2,0,10,7,1,0,0
12,Bozrah,2,0,0,2,1,2,0,0
13,Branford,148,22,0,170,64,8,10,8
14,Bridgeport,"4,277",626,1,"4,904",758,181,216,109
15,Bridgewater,3,1,0,4,4,0,1,1
16,Bristol,443,39,1,483,177,20,29,17
17,Brookfield,48,5,0,53,45,2,7,3
18,Brooklyn,31,5,1,37,23,1,3,1
19,Burlington,7,1,0,8,6,0,1,1
20,Canaan,3,0,0,3,1,1,0,0
21,Canterbury,4,2,1,7,3,1,0,0
22,Canton,12,1,0,13,9,0,0,0
23,Chaplin,8,5,2,15,14,0,0,0
24,Cheshire,54,10,0,64,28,18,1,1
25,Chester,6,0,0,6,3,1,0,0
26,Clinton,49,9,0,58,47,1,4,3
27,Colchester,26,7,0,33,21,2,1,1
28,Colebrook,0,0,0,0,0,0,0,0
29,Columbia,7,2,0,9,8,0,0,0
30,Cornwall,1,0,0,1,1,0,0,0
31,Coventry,27,2,0,29,20,1,0,0
32,Cromwell,23,2,0,25,3,5,7,6
33,Danbury,"1,925",141,4,"2,070",798,41,39,19
34,Darien,31,2,0,33,9,4,0,0
35,Deep River,22,4,0,26,19,0,1,1
36,Derby,149,19,0,168,133,11,17,7
37,Durham,7,1,0,8,2,0,0,0
38,East Granby,12,1,0,13,11,0,2,1
39,East Haddam,19,2,0,21,19,0,3,1
40,East Hampton,28,4,0,32,17,0,5,3
41,East Hartford,510,96,7,613,143,18,40,28
42,East Haven,196,40,0,236,52,20,19,9
43,East Lyme,53,4,0,57,41,3,7,6
44,East Windsor,48,9,1,58,37,1,3,2
45,Eastford,5,2,0,7,5,0,0,0
46,Easton,10,0,0,10,9,0,1,0
47,Ellington,31,3,0,34,27,0,2,1
48,Enfield,191,31,1,223,194,6,21,11
49,Essex,10,0,0,10,3,0,0,0
50,Fairfield,166,20,0,186,75,3,12,7
51,Farmington,25,1,0,26,23,1,5,4
52,Franklin,0,1,0,1,0,0,1,0
53,Glastonbury,35,2,0,37,22,1,5,4
54,Goshen,0,0,0,0,0,0,3,3
55,Granby,20,2,0,22,14,1,1,1
56,Greenwich,187,24,1,212,28,3,6,2
57,Griswold,37,11,0,48,36,1,8,6
58,Groton,449,43,0,492,165,13,21,10
59,Guilford,34,10,0,44,15,2,5,2
60,Haddam,12,0,0,12,3,0,1,1
61,Hamden,318,51,0,369,112,28,30,12
62,Hampton,8,3,0,11,5,0,0,0
63,Hartford,"2,277",600,8,"2,885","1,737",118,271,135
64,Hartland,2,0,0,2,2,0,0,0
65,Harwinton,5,0,0,5,4,1,0,0
66,Hebron,12,2,0,14,7,1,0,0
67,Kent,7,1,0,8,7,0,0,0
68,Killingly,132,37,0,169,130,4,13,7
69,Killingworth,9,0,0,9,3,2,6,6
70,Lebanon,12,6,0,18,15,0,4,2
71,Ledyard,90,10,0,100,59,5,11,8
72,Lisbon,9,3,0,12,12,0,0,0
73,Litchfield,15,3,0,18,8,1,1,1
74,Lyme,5,3,0,8,4,0,0,0
75,Madison,63,9,0,72,24,3,7,6
76,Manchester,398,99,1,498,173,19,29,7
77,Mansfield,54,8,0,62,36,8,0,0
78,Marlborough,7,2,0,9,6,1,1,1
79,Meriden,511,133,0,644,316,26,67,29
80,Middlebury,7,0,0,7,2,0,1,1
81,Middlefield,9,2,0,11,9,1,1,1
82,Middletown,314,36,0,350,103,15,25,13
83,Milford,150,18,0,168,66,5,16,8
84,Monroe,40,3,0,43,21,7,1,0
85,Montville,97,16,0,113,55,11,8,5
86,Morris,2,2,0,4,3,0,2,0
87,Naugatuck,240,24,1,265,157,34,25,9
88,New Britain,885,218,1,"1,104",264,41,78,38
89,New Canaan,41,2,0,43,18,1,2,2
90,New Fairfield,40,1,1,42,34,0,0,0
91,New Hartford,11,6,0,17,12,2,1,1
92,New Haven,"3,932",745,1,"4,678","1,917",164,268,95
93,New London,"1,098",105,1,"1,204",121,26,55,41
94,New Milford,136,9,0,145,90,4,9,3
95,Newington,52,12,0,64,57,1,13,10
96,Newtown,66,11,0,77,59,6,7,3
97,Norfolk,5,1,0,6,5,0,0,0
98,North Branford,26,6,0,32,11,4,5,2
99,North Canaan,21,2,0,23,16,2,2,1
100,North Haven,52,7,0,59,13,4,1,1
101,North Stonington,17,4,0,21,18,0,0,0
102,Norwalk,"1,743",123,0,"1,866",170,23,34,15
103,Norwich,419,148,2,569,126,20,45,24
104,Old Lyme,21,2,0,23,6,2,2,2
105,Old Saybrook,44,7,0,51,19,2,2,2
106,Orange,21,3,0,24,12,0,1,0
107,Oxford,39,5,0,44,32,3,0,0
108,Plainfield,86,15,5,106,42,4,15,5
109,Plainville,92,10,0,102,37,3,2,0
110,Plymouth,64,6,0,70,24,8,12,12
111,Pomfret,12,10,0,22,8,0,1,1
112,Portland,22,11,0,33,15,3,7,2
113,Preston,12,3,0,15,13,0,0,0
114,Prospect,16,2,0,18,16,0,2,2
115,Putnam,117,28,1,146,87,7,3,2
116,Redding,19,1,0,20,13,2,0,0
117,Ridgefield,47,6,0,53,28,0,6,4
118,Rocky Hill,37,8,0,45,11,5,3,3
119,Roxbury,1,1,0,2,1,1,0,0
120,Salem,20,0,0,20,11,0,0,0
121,Salisbury,8,4,0,12,9,0,3,2
122,Scotland,8,1,0,9,4,0,0,0
123,Seymour,61,10,0,71,47,8,6,3
124,Sharon,5,1,0,6,5,0,0,0
125,Shelton,139,30,0,169,55,12,11,8
126,Sherman,4,2,0,6,5,0,0,0
127,Simsbury,24,8,0,32,27,1,3,0
