,Municipality *,FTA Warrants,VOP Warrants,OTI Warrants,Total Warrants,"Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants 
 For Month","Warrants 
Foreign Served 
For Month"
0,Andover,1,0,0,1,1,0,1,1
1,Ansonia,216,34,0,250,108,13,23,8
2,Ashford,23,4,1,28,21,0,7,3
3,Avon,16,1,0,17,6,0,0,0
4,Barkhamsted,9,1,0,10,4,2,0,0
5,Beacon Falls,20,8,0,28,24,2,1,0
6,Berlin,35,6,0,41,37,3,9,7
7,Bethany,15,0,0,15,8,3,1,1
8,Bethel,75,9,0,84,32,6,2,2
9,Bethlehem,11,0,0,11,5,4,1,1
10,Bloomfield,89,24,0,113,46,7,13,8
11,Bolton,5,1,0,6,6,0,4,3
12,Bozrah,1,1,0,2,0,1,4,2
13,Branford,149,23,0,172,58,13,15,7
14,Bridgeport,"4,269",604,1,"4,874",752,144,211,107
15,Bridgewater,3,1,0,4,4,0,1,1
16,Bristol,448,43,1,492,165,37,28,19
17,Brookfield,40,6,0,46,37,2,5,5
18,Brooklyn,33,5,1,39,23,2,6,5
19,Burlington,10,1,0,11,4,1,2,0
20,Canaan,2,0,0,2,1,0,1,1
21,Canterbury,3,3,1,7,3,1,2,2
22,Canton,13,2,0,15,9,2,1,1
23,Chaplin,8,5,2,15,14,0,0,0
24,Cheshire,41,1,0,42,25,3,6,5
25,Chester,5,2,0,7,3,2,0,0
26,Clinton,47,9,0,56,44,3,4,1
27,Colchester,22,11,0,33,20,7,3,3
28,Colebrook,0,0,0,0,0,0,0,0
29,Columbia,6,2,0,8,8,0,0,0
30,Cornwall,1,0,0,1,1,0,0,0
31,Coventry,28,3,0,31,21,1,4,4
32,Cromwell,22,0,0,22,3,2,0,0
33,Danbury,"1,851",145,4,"2,000",802,39,30,15
34,Darien,27,2,0,29,9,2,3,3
35,Deep River,19,4,0,23,16,1,0,0
36,Derby,142,20,0,162,128,7,7,5
37,Durham,7,1,0,8,2,0,0,0
38,East Granby,10,1,0,11,10,0,2,2
39,East Haddam,21,2,0,23,20,0,0,0
40,East Hampton,25,5,0,30,19,0,4,3
41,East Hartford,526,108,7,641,143,41,48,24
42,East Haven,192,41,0,233,54,13,18,12
43,East Lyme,56,4,0,60,46,2,3,0
44,East Windsor,53,10,1,64,34,3,15,13
45,Eastford,5,3,0,8,5,1,0,0
46,Easton,11,0,0,11,9,0,0,0
47,Ellington,31,5,0,36,27,1,4,2
48,Enfield,186,33,1,220,189,8,16,8
49,Essex,11,0,0,11,3,0,0,0
50,Fairfield,160,22,0,182,74,2,6,3
51,Farmington,21,0,0,21,21,0,1,1
52,Franklin,1,1,0,2,0,0,0,0
53,Glastonbury,39,3,0,42,25,4,1,1
54,Goshen,0,0,0,0,0,0,0,0
55,Granby,21,2,0,23,14,2,1,0
56,Greenwich,183,24,0,207,27,2,4,4
57,Griswold,39,11,0,50,37,2,7,7
58,Groton,459,39,0,498,168,20,38,23
59,Guilford,35,9,0,44,15,2,0,0
60,Haddam,15,2,0,17,4,4,3,2
61,Hamden,326,53,0,379,106,24,24,14
62,Hampton,6,3,0,9,4,0,1,1
63,Hartford,"2,331",584,8,"2,923","1,718",161,271,125
64,Hartland,3,0,0,3,2,0,0,0
65,Harwinton,5,0,0,5,4,1,0,0
66,Hebron,10,2,0,12,6,1,0,0
67,Kent,5,2,0,7,6,2,0,0
68,Killingly,135,32,1,168,123,9,16,9
69,Killingworth,7,0,0,7,2,0,0,0
70,Lebanon,10,6,0,16,15,0,2,1
71,Ledyard,90,9,0,99,56,4,9,6
72,Lisbon,8,3,0,11,11,0,2,1
73,Litchfield,14,5,0,19,9,5,4,2
74,Lyme,5,3,0,8,4,0,0,0
75,Madison,55,7,0,62,25,1,4,4
76,Manchester,395,99,1,495,165,28,44,21
77,Mansfield,54,8,0,62,35,3,4,1
78,Marlborough,5,1,0,6,6,0,3,2
79,Meriden,514,127,0,641,301,46,64,31
80,Middlebury,11,0,0,11,1,1,1,0
81,Middlefield,9,1,0,10,9,0,0,0
82,Middletown,315,42,0,357,102,23,29,12
83,Milford,153,24,0,177,65,18,12,8
84,Monroe,35,4,0,39,19,5,8,6
85,Montville,95,20,0,115,61,9,7,4
86,Morris,2,2,0,4,3,0,0,0
87,Naugatuck,239,35,1,275,136,29,34,16
88,New Britain,902,223,1,"1,126",259,58,72,33
89,New Canaan,38,2,0,40,18,0,1,0
90,New Fairfield,38,1,1,40,31,1,0,0
91,New Hartford,12,6,0,18,11,2,0,0
92,New Haven,"3,861",743,1,"4,605","1,832",215,224,118
93,New London,"1,119",125,1,"1,245",122,65,46,19
94,New Milford,128,7,0,135,81,2,17,12
95,Newington,56,16,0,72,56,8,7,6
96,Newtown,63,5,0,68,57,5,4,3
97,Norfolk,5,1,0,6,6,0,1,0
98,North Branford,23,7,0,30,8,2,1,0
99,North Canaan,20,1,0,21,18,0,1,0
100,North Haven,60,11,0,71,14,13,5,3
101,North Stonington,18,4,0,22,18,1,1,1
102,Norwalk,"1,768",125,0,"1,893",171,22,32,13
103,Norwich,437,148,2,587,122,40,48,24
104,Old Lyme,19,0,0,19,4,3,0,0
