,Municipality *,FTA Warrants,VOP Warrants,OTI Warrants,Total Warrants,"Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants 
 For Month","Warrants 
Foreign Served 
For Month"
0,Andover,1,0,0,1,1,0,0,0
1,Ansonia,219,28,0,247,105,12,18,13
2,Ashford,24,4,1,29,21,0,0,0
3,Avon,19,3,0,22,6,2,0,0
4,Barkhamsted,10,1,0,11,3,0,0,0
5,Beacon Falls,17,7,0,24,17,1,3,0
6,Berlin,34,6,0,40,38,4,3,2
7,Bethany,12,0,0,12,7,0,1,0
8,Bethel,79,8,0,87,35,10,0,0
9,Bethlehem,8,0,0,8,5,0,1,1
10,Bloomfield,96,25,0,121,47,19,8,4
11,Bolton,6,1,0,7,7,0,0,0
12,Bozrah,7,0,0,7,0,2,0,0
13,Branford,153,24,0,177,61,9,2,2
14,Bridgeport,"4,264",618,1,"4,883",748,162,182,104
15,Bridgewater,3,1,0,4,4,0,1,0
16,Bristol,449,46,1,496,160,36,43,14
17,Brookfield,51,1,0,52,33,4,4,4
18,Brooklyn,33,7,1,41,24,3,4,3
19,Burlington,5,1,0,6,4,0,0,0
20,Canaan,2,0,0,2,1,0,0,0
21,Canterbury,3,3,1,7,3,0,1,1
22,Canton,14,1,0,15,9,0,1,0
23,Chaplin,7,6,2,15,13,0,0,0
24,Cheshire,40,2,0,42,23,5,7,5
25,Chester,5,0,0,5,3,0,0,0
26,Clinton,43,10,0,53,43,3,6,2
27,Colchester,23,4,0,27,16,2,1,1
28,Colebrook,0,0,0,0,0,0,2,2
29,Columbia,9,2,0,11,10,1,0,0
30,Cornwall,2,0,0,2,1,0,0,0
31,Coventry,27,2,0,29,21,0,6,3
32,Cromwell,18,0,0,18,2,0,1,0
33,Danbury,"1,742",151,4,"1,897",832,59,47,32
34,Darien,23,2,0,25,9,0,0,0
35,Deep River,17,4,0,21,16,0,0,0
36,Derby,150,18,0,168,125,12,3,2
37,Durham,10,1,0,11,2,2,2,2
38,East Granby,9,1,0,10,9,0,0,0
39,East Haddam,17,2,0,19,17,0,1,1
40,East Hampton,25,4,0,29,17,3,3,2
41,East Hartford,512,107,7,626,142,32,46,26
42,East Haven,201,49,0,250,52,17,20,14
43,East Lyme,62,6,0,68,49,3,2,2
44,East Windsor,56,11,1,68,34,4,1,0
45,Eastford,5,2,0,7,5,0,2,0
46,Easton,12,0,0,12,9,1,0,0
47,Ellington,34,6,0,40,27,4,4,2
48,Enfield,189,34,1,224,181,7,14,10
49,Essex,12,0,0,12,4,2,1,1
50,Fairfield,158,18,0,176,72,1,13,8
51,Farmington,24,0,0,24,24,0,3,2
52,Franklin,2,1,0,3,0,0,0,0
53,Glastonbury,42,6,0,48,24,9,6,3
54,Goshen,2,0,0,2,0,2,0,0
55,Granby,20,2,0,22,15,0,1,1
56,Greenwich,180,23,0,203,28,1,5,1
57,Griswold,46,12,0,58,35,8,1,1
58,Groton,467,45,0,512,165,13,17,10
59,Guilford,35,11,0,46,18,0,1,1
60,Haddam,18,0,0,18,3,2,3,1
61,Hamden,330,63,0,393,99,30,22,11
62,Hampton,7,3,0,10,4,0,0,0
63,Hartford,"2,394",643,8,"3,045","1,841",177,185,66
64,Hartland,3,0,0,3,2,0,0,0
65,Harwinton,7,1,0,8,4,1,2,2
66,Hebron,11,3,0,14,8,1,1,0
67,Kent,6,1,0,7,7,1,0,0
68,Killingly,137,34,1,172,120,2,8,5
69,Killingworth,10,0,0,10,2,1,0,0
70,Lebanon,9,6,0,15,15,0,0,0
71,Ledyard,93,9,0,102,58,1,2,1
72,Lisbon,7,2,0,9,9,0,4,4
73,Litchfield,17,3,0,20,7,1,1,1
74,Lyme,6,3,0,9,4,0,0,0
75,Madison,53,7,0,60,25,0,0,0
76,Manchester,397,98,2,497,172,19,27,7
77,Mansfield,50,8,0,58,34,0,5,3
78,Marlborough,6,2,0,8,7,0,0,0
79,Meriden,529,139,0,668,290,60,67,22
80,Middlebury,11,0,0,11,1,0,1,1
81,Middlefield,10,3,0,13,11,1,0,0
82,Middletown,325,37,0,362,107,17,25,13
83,Milford,157,20,0,177,65,12,13,4
84,Monroe,32,3,0,35,18,3,7,5
85,Montville,88,23,0,111,56,8,14,10
86,Morris,2,2,0,4,3,0,0,0
87,Naugatuck,227,23,1,251,126,23,37,16
88,New Britain,909,219,0,"1,128",265,57,71,36
89,New Canaan,36,2,0,38,16,0,0,0
90,New Fairfield,38,1,1,40,33,0,3,1
91,New Hartford,11,6,0,17,11,0,6,4
92,New Haven,"3,856",766,1,"4,623","1,815",163,161,77
93,New London,"1,100",118,1,"1,219",117,43,44,22
94,New Milford,132,7,0,139,85,6,28,23
95,Newington,55,14,0,69,58,4,7,2
96,Newtown,78,5,0,83,60,6,5,1
97,Norfolk,5,1,0,6,6,0,0,0
98,North Branford,25,3,0,28,12,1,1,1
99,North Canaan,20,2,0,22,19,2,0,0
100,North Haven,58,7,0,65,15,4,2,0
