,Municipality *,FTA Warrants,VOP Warrants,OTI Warrants,Total Warrants,"Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants 
 For Month","Warrants 
Foreign Served 
For Month"
0,Andover,1,0,0,1,1,0,0,0
1,Ansonia,221,29,0,250,111,8,11,8
2,Ashford,30,4,1,35,22,0,8,5
3,Avon,16,1,0,17,6,0,0,0
4,Barkhamsted,7,1,0,8,4,0,1,1
5,Beacon Falls,18,9,0,27,22,1,2,0
6,Berlin,34,10,0,44,39,3,1,1
7,Bethany,12,0,0,12,8,1,0,0
8,Bethel,73,10,0,83,32,2,5,1
9,Bethlehem,8,0,0,8,5,1,6,4
10,Bloomfield,93,25,0,118,51,17,13,7
11,Bolton,9,1,0,10,7,0,2,1
12,Bozrah,2,0,0,2,0,1,0,0
13,Branford,142,24,0,166,57,5,10,9
14,Bridgeport,"4,289",607,1,"4,897",746,171,180,85
15,Bridgewater,4,1,0,5,4,1,0,0
16,Bristol,438,41,1,480,174,26,43,24
17,Brookfield,41,6,0,47,39,4,0,0
18,Brooklyn,34,5,1,40,24,0,4,1
19,Burlington,12,1,0,13,5,3,1,1
20,Canaan,3,0,0,3,1,0,0,0
21,Canterbury,3,2,1,6,3,0,1,0
22,Canton,12,1,0,13,9,0,1,1
23,Chaplin,8,5,2,15,14,0,0,0
24,Cheshire,41,4,0,45,27,2,1,0
25,Chester,5,0,0,5,3,0,0,0
26,Clinton,45,10,0,55,45,2,2,2
27,Colchester,21,6,0,27,18,1,7,6
28,Colebrook,0,0,0,0,0,0,0,0
29,Columbia,6,2,0,8,8,0,0,0
30,Cornwall,1,0,0,1,1,0,0,0
31,Coventry,31,3,0,34,21,5,2,2
32,Cromwell,20,0,0,20,3,0,3,2
33,Danbury,"1,885",148,4,"2,037",806,25,26,10
34,Darien,28,2,0,30,9,0,5,4
35,Deep River,18,4,0,22,16,0,1,1
36,Derby,147,19,0,166,131,4,8,2
37,Durham,7,1,0,8,2,0,0,0
38,East Granby,12,1,0,13,11,1,0,0
39,East Haddam,21,2,0,23,20,4,1,0
40,East Hampton,25,8,0,33,19,5,3,1
41,East Hartford,520,107,7,634,148,24,42,23
42,East Haven,195,35,0,230,53,13,17,7
43,East Lyme,55,5,0,60,46,1,7,5
44,East Windsor,56,10,1,67,35,5,9,3
45,Eastford,5,2,0,7,5,0,0,0
46,Easton,11,0,0,11,9,0,0,0
47,Ellington,30,5,0,35,27,3,0,0
48,Enfield,187,32,1,220,195,4,31,19
49,Essex,11,0,0,11,3,0,0,0
50,Fairfield,163,24,0,187,74,8,8,4
51,Farmington,24,0,0,24,20,2,2,1
52,Franklin,1,1,0,2,0,0,0,0
53,Glastonbury,36,3,0,39,26,2,5,4
54,Goshen,0,0,0,0,0,0,0,0
55,Granby,20,2,0,22,14,1,0,0
