,Municipality *,FTA Warrants,VOP Warrants,OTI Warrants,Total Warrants,"Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants 
 For Month","Warrants 
Foreign Served 
For Month"
0,Andover,1,0,0,1,1,0,2,2
1,Ansonia,219,27,0,246,109,13,21,14
2,Ashford,38,4,1,43,21,3,1,0
3,Avon,16,1,0,17,6,2,4,3
4,Barkhamsted,8,1,0,9,5,1,2,0
5,Beacon Falls,17,9,0,26,22,1,0,0
6,Berlin,32,9,0,41,38,0,5,2
7,Bethany,11,0,0,11,8,0,2,2
8,Bethel,79,8,0,87,34,4,3,2
9,Bethlehem,8,0,0,8,6,0,1,1
10,Bloomfield,95,17,0,112,47,12,9,5
11,Bolton,8,1,0,9,7,0,0,0
12,Bozrah,1,0,0,1,0,0,0,0
13,Branford,148,21,0,169,61,8,4,2
14,Bridgeport,"4,245",611,1,"4,857",742,171,208,99
15,Bridgewater,3,1,0,4,4,0,0,0
16,Bristol,432,41,1,474,172,13,45,23
17,Brookfield,40,4,0,44,39,0,5,5
18,Brooklyn,34,5,2,41,24,2,2,0
19,Burlington,9,1,0,10,5,1,2,2
20,Canaan,3,0,0,3,1,0,0,0
21,Canterbury,3,2,1,6,3,0,2,1
22,Canton,13,1,0,14,10,1,0,0
23,Chaplin,8,5,2,15,14,0,0,0
24,Cheshire,40,6,0,46,28,7,17,7
25,Chester,6,0,0,6,3,0,1,1
26,Clinton,46,10,0,56,46,0,4,2
27,Colchester,27,7,0,34,24,4,4,2
28,Colebrook,0,0,0,0,0,0,0,0
29,Columbia,6,2,0,8,8,0,2,1
30,Cornwall,1,0,0,1,1,0,0,0
31,Coventry,28,3,0,31,23,2,2,2
32,Cromwell,22,0,0,22,3,1,3,1
33,Danbury,"1,883",140,4,"2,027",797,31,24,10
34,Darien,31,2,0,33,9,0,0,0
35,Deep River,19,4,0,23,16,0,1,1
36,Derby,148,19,0,167,126,13,6,3
37,Durham,7,1,0,8,2,0,1,1
38,East Granby,11,1,0,12,11,0,1,0
39,East Haddam,18,2,0,20,18,0,1,1
40,East Hampton,28,4,0,32,18,3,2,2
41,East Hartford,510,110,7,627,143,37,39,22
42,East Haven,189,37,0,226,54,14,19,10
43,East Lyme,60,7,0,67,42,8,2,0
44,East Windsor,59,11,1,71,36,12,3,3
45,Eastford,5,2,0,7,5,0,0,0
46,Easton,11,0,0,11,9,1,0,0
47,Ellington,29,3,0,32,27,0,1,1
48,Enfield,196,32,1,229,199,5,9,6
49,Essex,11,0,0,11,3,0,0,0
50,Fairfield,165,20,0,185,73,6,7,3
51,Farmington,25,0,0,25,23,3,1,1
52,Franklin,1,1,0,2,0,1,0,0
53,Glastonbury,36,3,0,39,23,4,7,6
