,Municipality *,FTA Warrants,VOP Warrants,OTI Warrants,Total Warrants,"Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants 
 For Month","Warrants 
Foreign Served 
For Month"
0,Andover,1,0,0,1,1,0,0,0
1,Ansonia,217,24,0,241,114,5,21,11
2,Ashford,25,4,1,30,22,3,0,0
3,Avon,15,1,0,16,7,0,4,4
4,Barkhamsted,7,1,0,8,4,1,1,1
5,Beacon Falls,19,7,0,26,20,3,3,1
6,Berlin,33,10,0,43,39,1,1,1
7,Bethany,15,1,0,16,10,0,0,0
8,Bethel,91,8,0,99,40,4,7,4
9,Bethlehem,8,0,0,8,5,1,0,0
10,Bloomfield,88,17,0,105,45,5,10,5
11,Bolton,8,1,0,9,7,1,0,0
12,Bozrah,0,0,0,0,0,0,3,3
13,Branford,150,24,0,174,66,6,3,2
14,Bridgeport,"4,297",606,1,"4,904",763,124,194,92
15,Bridgewater,4,1,0,5,4,1,1,1
16,Bristol,447,37,1,485,179,13,36,14
17,Brookfield,50,5,0,55,45,3,5,0
18,Brooklyn,32,5,1,38,25,0,8,1
19,Burlington,8,1,0,9,6,1,2,1
20,Canaan,2,0,0,2,0,0,0,0
21,Canterbury,3,2,1,6,3,0,1,0
22,Canton,12,1,0,13,9,0,2,0
23,Chaplin,8,5,2,15,14,0,2,0
24,Cheshire,43,3,0,46,28,3,4,2
25,Chester,5,0,0,5,3,0,0,0
26,Clinton,51,9,0,60,47,4,14,9
27,Colchester,24,7,0,31,21,1,4,3
28,Colebrook,0,0,0,0,0,0,1,1
29,Columbia,7,2,0,9,8,0,0,0
30,Cornwall,1,0,0,1,1,0,0,0
31,Coventry,26,2,0,28,20,1,8,7
32,Cromwell,26,0,0,26,3,0,0,0
33,Danbury,"1,950",139,4,"2,093",804,26,39,15
34,Darien,27,2,0,29,9,0,0,0
35,Deep River,23,4,0,27,19,0,1,1
36,Derby,142,22,0,164,128,3,11,8
37,Durham,8,1,0,9,2,0,1,0
38,East Granby,12,2,0,14,11,1,2,2
39,East Haddam,21,2,0,23,20,1,0,0
40,East Hampton,32,5,0,37,20,0,2,1
41,East Hartford,519,102,7,628,145,22,36,22
42,East Haven,186,40,0,226,53,9,9,8
43,East Lyme,52,5,0,57,42,3,2,2
44,East Windsor,49,9,1,59,39,0,2,0
45,Eastford,5,2,0,7,5,0,0,0
46,Easton,10,0,0,10,9,0,2,0
47,Ellington,34,3,0,37,27,2,2,2
48,Enfield,195,33,1,229,198,16,20,11
49,Essex,10,0,0,10,3,0,0,0
50,Fairfield,170,22,0,192,74,5,0,0
51,Farmington,27,4,0,31,26,3,5,2
52,Franklin,1,1,0,2,0,0,0,0
53,Glastonbury,38,2,0,40,24,0,4,0
54,Goshen,1,0,0,1,0,1,0,0
55,Granby,20,2,0,22,11,1,0,0
56,Greenwich,190,24,1,215,30,1,1,0
57,Griswold,40,12,0,52,39,2,8,4
58,Groton,454,39,0,493,163,13,18,12
59,Guilford,35,9,0,44,15,2,5,4
60,Haddam,13,0,0,13,3,0,1,1
61,Hamden,314,49,0,363,110,18,31,15
62,Hampton,8,3,0,11,5,0,6,5
63,Hartford,"2,376",636,8,"3,020","1,835",148,186,95
64,Hartland,2,0,0,2,2,0,0,0
65,Harwinton,4,0,0,4,4,0,2,1
66,Hebron,11,2,0,13,6,0,0,0
67,Kent,7,1,0,8,7,0,0,0
68,Killingly,136,37,0,173,126,8,16,7
69,Killingworth,7,0,0,7,2,0,0,0
70,Lebanon,13,6,0,19,15,2,0,0
71,Ledyard,91,12,0,103,58,2,5,2
72,Lisbon,9,3,0,12,11,0,1,0
73,Litchfield,15,3,0,18,8,2,1,1
74,Lyme,5,3,0,8,4,0,0,0
75,Madison,65,11,0,76,29,5,4,4
76,Manchester,396,99,1,496,175,15,28,11
77,Mansfield,51,3,0,54,36,0,7,4
78,Marlborough,7,1,0,8,6,2,1,1
79,Meriden,537,136,0,673,334,38,54,9
80,Middlebury,8,0,0,8,2,0,0,0
81,Middlefield,10,1,0,11,10,0,3,3
82,Middletown,320,34,0,354,103,10,23,10
83,Milford,155,19,0,174,70,6,14,12
84,Monroe,34,5,0,39,23,3,1,1
85,Montville,93,16,0,109,54,7,6,4
86,Morris,2,4,0,6,3,2,2,2
87,Naugatuck,217,25,1,243,153,13,36,21
88,New Britain,901,225,1,"1,127",261,49,90,47
89,New Canaan,41,2,0,43,17,2,1,0
90,New Fairfield,40,1,1,42,34,0,2,1
91,New Hartford,9,6,0,15,11,0,0,0
92,New Haven,"3,986",759,1,"4,746","1,934",200,208,93
93,New London,"1,118",105,1,"1,224",122,27,42,22
94,New Milford,141,9,0,150,94,9,7,4
95,Newington,58,16,0,74,61,3,21,12
96,Newtown,68,8,0,76,58,1,4,3
97,Norfolk,5,1,0,6,5,1,0,0
98,North Branford,29,5,0,34,11,1,1,0
99,North Canaan,21,1,0,22,16,2,1,1
100,North Haven,51,5,0,56,13,3,7,6
101,North Stonington,17,4,0,21,18,0,1,0
102,Norwalk,"1,740",124,1,"1,865",168,21,46,22
103,Norwich,426,147,2,575,127,26,53,20
104,Old Lyme,19,4,0,23,6,2,1,1
105,Old Saybrook,46,5,0,51,17,0,2,2
106,Orange,24,3,0,27,12,1,2,2
107,Oxford,36,5,0,41,32,0,3,0
108,Plainfield,85,20,5,110,44,5,20,11
109,Plainville,92,9,0,101,38,4,11,9
110,Plymouth,65,6,0,71,25,2,8,2
111,Pomfret,13,10,0,23,8,0,0,0
112,Portland,22,14,0,36,18,3,0,0
113,Preston,12,3,0,15,13,0,0,0
114,Prospect,18,2,0,20,17,0,0,0
115,Putnam,111,28,1,140,80,2,3,2
116,Redding,17,1,0,18,13,0,5,3
117,Ridgefield,54,7,0,61,32,1,0,0
118,Rocky Hill,37,4,0,41,11,3,0,0
119,Roxbury,1,0,0,1,1,0,0,0
120,Salem,21,0,0,21,11,1,2,2
121,Salisbury,11,4,0,15,10,2,2,1
122,Scotland,9,1,0,10,1,2,1,0
123,Seymour,55,10,0,65,49,2,5,3
124,Sharon,5,1,0,6,5,0,0,0
125,Shelton,141,25,0,166,55,10,12,8
126,Sherman,4,2,0,6,5,0,0,0
127,Simsbury,24,8,0,32,21,2,1,1
128,Somers,14,5,0,19,11,2,0,0
129,South Windsor,33,8,1,42,22,2,1,1
130,Southbury,22,2,0,24,16,2,4,3
131,Southington,108,13,0,121,63,9,30,20
132,Sprague,8,11,1,20,12,1,2,0
133,Stafford,73,10,0,83,60,4,5,3
134,Stamford,"2,347",269,3,"2,619",512,34,46,23
135,Sterling,27,2,0,29,14,2,2,2
