,Municipality *,FTA Warrants,VOP Warrants,OTI Warrants,Total Warrants,"Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants 
 For Month","Warrants 
Foreign Served 
For Month"
0,Andover,2,1,0,3,2,0,0,0
1,Ansonia,216,27,0,243,110,9,18,14
2,Ashford,36,4,1,41,22,0,0,0
3,Avon,16,2,0,18,7,1,0,0
4,Barkhamsted,7,1,0,8,5,0,0,0
5,Beacon Falls,17,8,0,25,22,1,3,1
6,Berlin,33,10,0,43,39,4,2,1
7,Bethany,13,0,0,13,9,1,2,1
8,Bethel,80,8,0,88,35,0,9,5
9,Bethlehem,8,0,0,8,6,0,1,1
10,Bloomfield,87,18,0,105,45,6,11,5
11,Bolton,8,1,0,9,7,0,1,1
12,Bozrah,1,0,0,1,0,0,1,1
13,Branford,149,20,0,169,63,6,16,8
14,Bridgeport,"4,227",625,1,"4,853",745,121,198,89
15,Bridgewater,3,1,0,4,4,0,0,0
16,Bristol,449,38,1,488,176,15,35,13
17,Brookfield,42,5,0,47,40,1,4,1
18,Brooklyn,33,5,1,39,23,2,1,0
19,Burlington,9,1,0,10,6,2,0,0
20,Canaan,3,0,0,3,1,0,0,0
21,Canterbury,5,2,1,8,3,2,2,2
22,Canton,12,1,0,13,9,0,0,0
23,Chaplin,8,5,2,15,14,0,0,0
24,Cheshire,45,9,0,54,25,2,9,5
25,Chester,5,0,0,5,3,0,1,1
26,Clinton,48,10,0,58,46,2,4,2
27,Colchester,27,6,0,33,23,3,4,2
28,Colebrook,0,0,0,0,0,0,0,0
29,Columbia,7,2,0,9,9,0,0,0
30,Cornwall,1,0,0,1,1,0,0,0
31,Coventry,27,2,0,29,21,0,2,1
32,Cromwell,21,0,0,21,3,0,6,6
33,Danbury,"1,905",137,4,"2,046",793,27,54,18
34,Darien,31,2,0,33,9,0,0,0
35,Deep River,19,5,0,24,17,1,0,0
36,Derby,141,19,0,160,130,3,15,8
37,Durham,7,1,0,8,2,0,0,0
38,East Granby,12,1,0,13,11,1,2,1
39,East Haddam,18,2,0,20,18,0,0,0
40,East Hampton,27,4,0,31,17,0,2,2
41,East Hartford,517,101,7,625,143,37,56,35
42,East Haven,192,39,0,231,52,9,18,11
43,East Lyme,55,5,0,60,42,4,4,2
44,East Windsor,47,11,1,59,37,2,3,2
45,Eastford,5,2,0,7,5,0,0,0
46,Easton,10,0,0,10,9,0,0,0
47,Ellington,29,3,0,32,28,0,2,2
48,Enfield,196,30,1,227,195,9,17,5
49,Essex,11,0,0,11,3,1,0,0
50,Fairfield,164,20,0,184,74,3,9,5
51,Farmington,24,0,0,24,24,0,4,4
52,Franklin,0,1,0,1,0,0,0,0
53,Glastonbury,35,2,0,37,22,0,0,0
54,Goshen,0,0,0,0,0,0,0,0
55,Granby,20,2,0,22,14,0,0,0
56,Greenwich,184,24,1,209,28,4,6,1
57,Griswold,36,11,0,47,37,0,7,6
58,Groton,448,38,0,486,169,16,31,21
59,Guilford,35,8,0,43,16,2,3,2
60,Haddam,12,1,0,13,3,1,1,1
61,Hamden,314,50,0,364,104,24,44,28
62,Hampton,8,3,0,11,5,0,0,0
63,Hartford,"2,302",596,8,"2,906","1,772",158,248,107
64,Hartland,2,0,0,2,2,0,0,0
65,Harwinton,4,0,0,4,4,0,1,1
66,Hebron,10,2,0,12,6,1,3,2
67,Kent,7,1,0,8,7,0,0,0
68,Killingly,137,32,1,170,126,8,13,7
69,Killingworth,9,0,0,9,3,0,1,1
70,Lebanon,12,6,0,18,15,0,3,2
71,Ledyard,101,9,0,110,59,14,5,3
72,Lisbon,8,3,0,11,11,0,1,1
73,Litchfield,17,3,0,20,10,1,0,0
74,Lyme,5,3,0,8,4,0,0,0
75,Madison,63,9,0,72,25,0,0,0
76,Manchester,406,91,1,498,178,13,33,17
77,Mansfield,54,11,0,65,37,3,0,0
78,Marlborough,7,2,0,9,6,0,1,1
79,Meriden,505,124,0,629,305,26,54,26
80,Middlebury,7,0,0,7,2,0,0,0
81,Middlefield,9,1,0,10,9,0,5,3
82,Middletown,320,34,0,354,99,16,16,7
83,Milford,151,14,0,165,64,8,14,8
84,Monroe,38,3,0,41,22,0,3,2
85,Montville,89,16,0,105,55,4,16,9
86,Morris,2,2,0,4,3,0,0,0
87,Naugatuck,239,25,1,265,150,25,32,15
88,New Britain,894,226,1,"1,121",275,62,92,52
89,New Canaan,41,3,0,44,18,2,4,3
90,New Fairfield,41,1,1,43,34,2,1,0
91,New Hartford,12,6,0,18,14,3,4,3
92,New Haven,"3,926",744,1,"4,671","1,898",142,216,99
93,New London,"1,102",120,1,"1,223",126,34,30,13
94,New Milford,141,9,0,150,96,11,7,6
95,Newington,51,13,0,64,57,3,6,4
96,Newtown,65,8,0,73,57,3,14,8
97,Norfolk,6,1,0,7,7,1,1,1
98,North Branford,27,3,0,30,10,1,5,3
99,North Canaan,19,2,0,21,16,0,3,2
100,North Haven,52,8,0,60,13,3,3,1
101,North Stonington,18,4,0,22,18,1,1,0
102,Norwalk,"1,743",127,0,"1,870",175,25,35,18
103,Norwich,435,145,2,582,125,29,39,20
104,Old Lyme,21,2,0,23,6,0,2,1
105,Old Saybrook,45,7,0,52,19,1,1,1
106,Orange,21,0,0,21,12,0,3,1
107,Oxford,39,5,0,44,32,1,2,2
108,Plainfield,95,16,5,116,44,13,3,2
109,Plainville,89,8,0,97,38,3,12,5
110,Plymouth,70,3,0,73,26,4,8,4
111,Pomfret,12,10,0,22,8,0,0,0
112,Portland,22,8,0,30,15,0,4,4
113,Preston,14,3,0,17,13,2,0,0
114,Prospect,16,3,0,19,16,1,0,0
115,Putnam,117,30,1,148,86,5,5,2
116,Redding,17,1,0,18,13,0,2,0
117,Ridgefield,46,6,0,52,28,1,2,0
118,Rocky Hill,38,5,0,43,11,1,4,3
119,Roxbury,1,0,0,1,1,0,2,1
120,Salem,19,0,0,19,13,0,1,1
121,Salisbury,7,4,0,11,8,1,5,2
