,Municipality *,FTA Warrants,VOP Warrants,OTI Warrants,Total Warrants,"Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants  
For Month","Warrants 
Foreign Served 
For Month"
0,Andover,6,0,0,6,5,1,1,1
1,Ansonia,190,31,1,222,96,21,11,7
2,Ashford,17,0,2,19,17,0,4,3
3,Avon,10,2,2,14,5,0,0,0
4,Barkhamsted,13,1,1,15,9,4,6,0
5,Beacon Falls,20,8,0,28,18,4,0,0
6,Berlin,30,7,2,39,35,3,8,3
7,Bethany,22,0,0,22,10,1,3,3
8,Bethel,99,13,0,112,36,11,14,3
9,Bethlehem,4,0,0,4,4,0,0,0
10,Bloomfield,88,18,10,116,54,14,23,14
11,Bolton,12,1,0,13,11,2,0,0
12,Bozrah,11,0,0,11,11,0,6,2
13,Branford,172,14,0,186,66,13,16,10
14,Bridgeport,"3,419",546,1,"3,966",546,166,238,94
15,Bridgewater,5,1,0,6,6,0,1,0
16,Bristol,538,51,5,594,120,27,54,27
17,Brookfield,30,3,0,33,26,3,4,3
18,Brooklyn,35,7,1,43,28,0,5,3
19,Burlington,10,2,0,12,8,1,3,2
20,Canaan,0,0,0,0,0,0,0,0
21,Canterbury,8,4,0,12,7,0,3,1
22,Canton,13,2,0,15,13,1,1,0
23,Chaplin,4,4,2,10,5,3,1,0
24,Cheshire,44,0,0,44,28,1,2,1
25,Chester,11,4,0,15,9,0,10,4
26,Clinton,41,4,0,45,29,1,3,2
27,Colchester,32,5,0,37,34,2,8,2
28,Colebrook,2,0,0,2,1,1,0,0
29,Columbia,14,0,0,14,14,2,0,0
30,Cornwall,0,0,0,0,0,0,0,0
31,Coventry,32,4,0,36,17,0,8,6
32,Cromwell,36,2,2,40,23,2,3,2
33,Danbury,"1,717",162,3,"1,882",540,34,48,21
34,Darien,23,6,0,29,6,3,2,0
35,Deep River,24,4,0,28,12,1,0,0
36,Derby,110,15,0,125,106,10,11,4
37,Durham,15,1,0,16,1,0,1,1
38,East Granby,8,2,0,10,6,2,0,0
39,East Haddam,17,4,0,21,20,5,0,0
40,East Hampton,44,7,0,51,24,4,2,1
41,East Hartford,487,88,32,607,85,34,50,31
42,East Haven,225,31,0,256,36,17,8,5
43,East Lyme,38,7,0,45,35,3,6,2
44,East Windsor,44,12,2,58,23,0,5,4
45,Eastford,3,2,0,5,5,0,0,0
46,Easton,10,2,0,12,10,1,1,1
47,Ellington,34,9,0,43,27,3,8,4
48,Enfield,165,31,6,202,134,15,17,12
49,Essex,18,1,0,19,10,2,0,0
50,Fairfield,164,14,0,178,74,7,7,4
51,Farmington,24,8,1,33,22,1,3,1
52,Franklin,8,1,0,9,3,1,0,0
53,Glastonbury,29,8,0,37,21,0,7,3
54,Goshen,4,0,0,4,3,0,0,0
55,Granby,11,0,2,13,8,0,3,1
56,Greenwich,249,17,0,266,52,3,16,6
57,Griswold,56,10,0,66,47,2,5,2
58,Groton,401,33,0,434,134,8,21,13
59,Guilford,41,6,0,47,15,3,9,8
60,Haddam,22,1,1,24,10,0,1,1
61,Hamden,311,35,1,347,78,28,29,13
62,Hampton,5,0,0,5,3,0,0,0
63,Hartford,"2,488",533,240,"3,261","1,057",212,319,124
64,Hartland,1,0,0,1,0,0,0,0
65,Harwinton,5,0,0,5,4,0,1,0
66,Hebron,2,1,0,3,3,0,2,0
67,Kent,3,1,0,4,3,0,0,0
68,Killingly,123,35,5,163,122,19,21,4
69,Killingworth,13,0,0,13,5,3,2,0
70,Lebanon,18,6,0,24,24,0,4,4
71,Ledyard,92,12,0,104,65,13,12,8
72,Lisbon,4,6,0,10,8,1,0,0
73,Litchfield,8,0,0,8,6,1,7,3
74,Lyme,2,0,0,2,0,0,0,0
75,Madison,49,4,1,54,23,4,3,1
76,Manchester,337,55,7,399,139,14,35,17
77,Mansfield,33,12,0,45,29,5,5,2
78,Marlborough,7,0,0,7,6,2,1,0
79,Meriden,578,135,1,714,315,37,48,23
