,Municipality *,FTA Warrants,VOP Warrants,OTI Warrants,Total Warrants,"Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants 
 For Month","Warrants 
Foreign Served 
For Month"
0,Andover,1,0,0,1,1,0,0,0
1,Ansonia,217,22,0,239,107,6,31,19
2,Ashford,24,4,1,29,21,0,2,1
3,Avon,17,3,0,20,5,2,2,0
4,Barkhamsted,10,1,0,11,3,0,0,0
5,Beacon Falls,16,8,0,24,18,1,3,3
6,Berlin,33,7,0,40,36,2,4,1
7,Bethany,13,0,0,13,7,1,6,5
8,Bethel,69,10,0,79,31,2,4,3
9,Bethlehem,9,0,0,9,5,0,2,2
10,Bloomfield,88,21,0,109,47,11,16,4
11,Bolton,6,1,0,7,7,0,0,0
12,Bozrah,2,0,0,2,0,1,0,0
13,Branford,148,27,0,175,62,7,9,6
14,Bridgeport,"4,255",601,1,"4,857",737,159,200,100
15,Bridgewater,4,1,0,5,4,1,2,1
16,Bristol,438,45,1,484,163,28,29,18
17,Brookfield,46,6,0,52,36,5,1,1
18,Brooklyn,31,7,1,39,24,0,2,1
19,Burlington,5,1,0,6,4,0,1,0
20,Canaan,2,0,0,2,1,0,0,0
21,Canterbury,3,3,1,7,3,0,1,1
22,Canton,14,1,0,15,9,1,1,0
23,Chaplin,7,5,2,14,13,0,2,1
24,Cheshire,40,1,0,41,24,0,0,0
25,Chester,5,0,0,5,3,0,2,2
26,Clinton,43,9,0,52,42,1,2,1
27,Colchester,22,4,0,26,17,1,1,1
28,Colebrook,0,0,0,0,0,0,0,0
29,Columbia,7,2,0,9,8,1,0,0
30,Cornwall,2,0,0,2,1,1,0,0
31,Coventry,31,3,0,34,23,4,2,0
32,Cromwell,21,3,0,24,2,4,2,2
33,Danbury,"1,715",153,4,"1,872",796,32,38,16
34,Darien,23,2,0,25,9,0,0,0
35,Deep River,17,7,0,24,16,3,1,1
36,Derby,142,18,0,160,126,3,9,4
37,Durham,7,1,0,8,1,1,1,1
38,East Granby,8,1,0,9,8,0,0,0
39,East Haddam,21,2,0,23,20,0,5,1
40,East Hampton,25,4,0,29,16,2,1,0
41,East Hartford,519,109,8,636,146,33,49,26
42,East Haven,195,41,0,236,53,9,9,6
43,East Lyme,63,6,0,69,44,9,0,0
44,East Windsor,55,10,1,66,32,4,1,1
45,Eastford,5,2,0,7,5,0,1,0
46,Easton,11,0,0,11,9,0,0,0
47,Ellington,33,5,0,38,26,3,1,1
48,Enfield,189,34,1,224,185,7,16,13
49,Essex,11,0,0,11,3,0,0,0
50,Fairfield,163,22,0,185,74,3,3,2
51,Farmington,25,0,0,25,23,2,0,0
52,Franklin,1,1,0,2,0,0,0,0
53,Glastonbury,39,3,0,42,24,2,6,5
54,Goshen,2,0,0,2,1,1,2,2
55,Granby,20,2,0,22,15,1,6,6
56,Greenwich,183,24,0,207,27,1,1,0
57,Griswold,40,11,0,51,37,2,6,2
58,Groton,475,39,0,514,165,17,17,12
59,Guilford,36,8,0,44,16,1,2,0
60,Haddam,22,0,0,22,7,4,2,0
61,Hamden,323,50,0,373,102,23,31,15
62,Hampton,7,3,0,10,4,1,1,0
63,Hartford,"2,314",607,8,"2,929","1,764",178,270,135
64,Hartland,4,0,0,4,2,1,1,1
65,Harwinton,5,0,0,5,4,0,0,0
66,Hebron,10,3,0,13,6,2,1,1
67,Kent,5,1,0,6,6,0,1,0
68,Killingly,132,31,2,165,120,6,12,8
69,Killingworth,7,0,0,7,2,0,0,0
70,Lebanon,10,7,0,17,16,2,1,1
71,Ledyard,96,10,0,106,55,3,4,3
72,Lisbon,7,3,0,10,10,0,0,0
73,Litchfield,12,3,0,15,7,0,0,0
74,Lyme,6,3,0,9,4,1,0,0
75,Madison,56,7,0,63,25,2,1,0
76,Manchester,394,93,1,488,164,33,48,29
77,Mansfield,52,8,0,60,35,1,4,2
78,Marlborough,6,1,0,7,6,0,3,2
79,Meriden,513,133,0,646,298,38,50,25
80,Middlebury,13,0,0,13,2,1,0,0
81,Middlefield,9,3,0,12,11,0,0,0
82,Middletown,334,40,0,374,116,29,29,12
83,Milford,154,24,0,178,64,19,15,11
84,Monroe,36,3,0,39,20,5,1,0
85,Montville,85,22,0,107,57,3,10,5
86,Morris,2,2,0,4,3,0,5,5
87,Naugatuck,232,22,1,255,128,22,24,11
88,New Britain,904,226,0,"1,130",264,75,109,57
89,New Canaan,36,2,0,38,16,0,1,1
90,New Fairfield,38,1,1,40,32,0,2,1
91,New Hartford,12,6,0,18,11,1,1,1
92,New Haven,"3,874",738,1,"4,613","1,845",201,223,92
93,New London,"1,104",119,1,"1,224",118,28,55,33
94,New Milford,137,9,0,146,88,12,11,5
95,Newington,58,13,0,71,58,6,12,7
96,Newtown,69,5,0,74,56,9,4,3
97,Norfolk,5,1,0,6,6,0,0,0
98,North Branford,25,3,0,28,9,4,3,1
99,North Canaan,22,1,0,23,21,2,1,0
100,North Haven,58,7,0,65,15,1,7,6
101,North Stonington,20,4,0,24,18,0,1,0
102,Norwalk,"1,720",127,0,"1,847",171,12,22,10
103,Norwich,432,135,3,570,121,22,54,24
104,Old Lyme,16,0,0,16,4,0,0,0
105,Old Saybrook,41,7,0,48,19,2,4,1
106,Orange,21,4,0,25,11,0,4,2
107,Oxford,33,6,0,39,29,3,2,2
108,Plainfield,86,15,3,104,43,1,4,1
109,Plainville,89,9,0,98,39,5,4,1
110,Plymouth,67,5,0,72,19,6,1,0
111,Pomfret,13,8,0,21,6,0,0,0
112,Portland,25,8,0,33,17,5,2,1
113,Preston,11,3,0,14,13,0,1,0
114,Prospect,21,1,0,22,16,1,0,0
115,Putnam,112,27,0,139,83,2,6,2
116,Redding,21,1,0,22,13,4,0,0
117,Ridgefield,40,7,0,47,26,1,1,0
