,Municipality *,FTA Warrants,VOP Warrants,OTI Warrants,Total Warrants,"Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants 
 For Month","Warrants 
Foreign Served 
For Month"
0,Andover,1,0,0,1,1,0,0,0
1,Ansonia,227,25,0,252,107,18,33,21
2,Ashford,25,4,1,30,21,2,2,2
3,Avon,16,4,0,20,7,3,0,0
4,Barkhamsted,10,1,0,11,3,2,0,0
5,Beacon Falls,20,8,0,28,21,3,3,1
6,Berlin,33,6,0,39,36,1,4,3
7,Bethany,19,0,0,19,8,6,2,1
8,Bethel,73,8,0,81,31,4,9,7
9,Bethlehem,11,0,0,11,5,2,5,3
10,Bloomfield,91,20,0,111,52,13,18,11
11,Bolton,6,1,0,7,7,1,1,1
12,Bozrah,1,0,0,1,0,0,1,1
13,Branford,155,23,0,178,59,15,10,1
14,Bridgeport,"4,233",598,1,"4,832",749,139,180,89
15,Bridgewater,3,1,0,4,4,0,0,0
16,Bristol,430,42,1,473,161,22,55,29
17,Brookfield,38,6,0,44,33,3,3,2
18,Brooklyn,33,8,1,42,25,3,1,1
19,Burlington,6,1,0,7,4,0,5,4
20,Canaan,2,0,0,2,1,0,0,0
21,Canterbury,3,4,1,8,4,1,0,0
22,Canton,13,2,0,15,9,1,1,1
23,Chaplin,9,5,2,16,14,1,0,0
24,Cheshire,41,1,0,42,25,1,0,0
25,Chester,5,2,0,7,5,0,0,0
26,Clinton,44,9,0,53,43,0,2,1
27,Colchester,22,4,0,26,17,0,8,4
28,Colebrook,0,0,0,0,0,0,0,0
29,Columbia,6,2,0,8,8,0,0,0
30,Cornwall,1,0,0,1,1,0,0,0
31,Coventry,28,3,0,31,23,0,2,1
32,Cromwell,21,0,0,21,2,3,2,1
33,Danbury,"1,793",145,4,"1,942",797,28,36,12
34,Darien,23,2,0,25,9,0,2,1
35,Deep River,19,4,0,23,16,0,0,0
36,Derby,145,19,0,164,127,9,9,9
37,Durham,7,1,0,8,1,1,1,0
38,East Granby,8,1,0,9,8,0,2,2
39,East Haddam,22,3,0,25,22,2,0,0
40,East Hampton,24,4,0,28,17,1,3,2
41,East Hartford,525,109,8,642,146,38,45,26
42,East Haven,194,40,0,234,53,12,16,9
43,East Lyme,56,4,0,60,44,5,6,5
44,East Windsor,52,10,1,63,33,1,4,3
45,Eastford,5,2,0,7,5,0,1,0
46,Easton,11,0,0,11,9,0,0,0
47,Ellington,30,5,0,35,26,1,1,1
48,Enfield,187,35,1,223,189,9,11,7
49,Essex,11,0,0,11,3,0,1,0
50,Fairfield,162,21,0,183,73,5,2,2
51,Farmington,23,0,0,23,22,2,1,1
52,Franklin,1,1,0,2,0,0,0,0
53,Glastonbury,42,3,0,45,25,5,2,1
54,Goshen,3,0,0,3,1,3,0,0
55,Granby,19,2,0,21,15,0,4,1
56,Greenwich,183,24,0,207,27,1,1,1
57,Griswold,40,11,0,51,37,1,0,0
58,Groton,464,41,0,505,167,16,13,11
59,Guilford,36,8,0,44,16,1,1,0
60,Haddam,16,1,0,17,8,2,2,1
61,Hamden,314,54,0,368,102,21,39,23
62,Hampton,7,3,0,10,4,1,0,0
63,Hartford,"2,329",595,8,"2,932","1,806",208,288,137
64,Hartland,3,1,0,4,2,1,1,1
