"Municipality *","FTA Warrants","VOP Warrants","OTI Warrants","Total Warrants"
"Salem","20","0","0","20"
"Salisbury","8","4","0","12"
"Scotland","8","1","0","9"
"Seymour","61","10","0","71"
"Sharon","5","1","0","6"
"Shelton","139","30","0","169"
"Sherman","4","2","0","6"
"Simsbury","24","8","0","32"
"Somers","11","4","0","15"
"South Windsor","34","8","1","43"
"Southbury","22","3","0","25"
"Southington","102","11","0","113"
"Sprague","8","13","1","22"
"Stafford","74","13","0","87"
"Stamford","2,360","270","3","2,633"
"Sterling","27","2","0","29"
"Stonington","112","15","0","127"
"Stratford","366","76","0","442"
"Suffield","21","4","0","25"
"Thomaston","15","4","0","19"
"Thompson","66","26","4","96"
"Tolland","34","0","0","34"
"Torrington","284","28","1","313"
"Trumbull","75","10","0","85"
"Union","2","0","0","2"
"Vernon","155","34","1","190"
"Voluntown","4","4","0","8"
"Wallingford","83","19","1","103"
"Warren","0","0","0","0"
"Washington","13","0","0","13"
