"Municipality *","Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants 
 For Month","Warrants 
Foreign Served 
For Month"
"Andover","2","2","0","0"
"Ansonia","112","9","10","6"
"Ashford","22","12","1","0"
"Avon","7","0","0","0"
"Barkhamsted","5","0","0","0"
"Beacon Falls","22","1","0","0"
"Berlin","38","1","4","2"
"Bethany","9","0","2","2"
"Bethel","39","1","6","3"
"Bethlehem","5","0","0","0"
"Bloomfield","44","9","11","8"
"Bolton","7","1","0","0"
"Bozrah","1","2","0","0"
"Branford","64","8","10","8"
"Bridgeport","758","181","216","109"
"Bridgewater","4","0","1","1"
"Bristol","177","20","29","17"
"Brookfield","45","2","7","3"
"Brooklyn","23","1","3","1"
"Burlington","6","0","1","1"
"Canaan","1","1","0","0"
"Canterbury","3","1","0","0"
"Canton","9","0","0","0"
"Chaplin","14","0","0","0"
"Cheshire","28","18","1","1"
"Chester","3","1","0","0"
"Clinton","47","1","4","3"
"Colchester","21","2","1","1"
"Colebrook","0","0","0","0"
"Columbia","8","0","0","0"
