"Municipality *","FTA Warrants","VOP Warrants","OTI Warrants","Total Warrants"
"Salem","19","3","0","22"
"Salisbury","6","4","0","10"
"Scotland","6","1","0","7"
"Seymour","69","6","0","75"
"Sharon","5","1","0","6"
"Shelton","127","22","0","149"
"Sherman","5","0","0","5"
"Simsbury","21","5","0","26"
"Somers","16","3","0","19"
"South Windsor","31","9","1","41"
"Southbury","20","1","0","21"
"Southington","102","16","1","119"
"Sprague","7","11","1","19"
"Stafford","78","9","1","88"
"Stamford","2,405","277","3","2,685"
"Sterling","26","2","1","29"
"Stonington","112","15","0","127"
"Stratford","345","73","0","418"
"Suffield","19","4","0","23"
"Thomaston","14","4","0","18"
"Thompson","67","26","4","97"
"Tolland","36","1","0","37"
"Torrington","271","37","1","309"
"Trumbull","72","9","0","81"
"Union","2","0","0","2"
"Vernon","157","35","1","193"
"Voluntown","5","4","0","9"
"Wallingford","96","28","1","125"
"Warren","0","0","0","0"
"Washington","10","0","0","10"
