"Municipality *","Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants 
 For Month","Warrants 
Foreign Served 
For Month"
"Waterbury","1,459","241","229","100"
"Waterford","10","3","4","4"
"Watertown","50","6","9","5"
"West Hartford","70","3","12","6"
"West Haven","210","28","38","21"
"Westbrook","27","0","4","3"
"Weston","10","0","0","0"
"Westport","48","2","0","0"
"Wethersfield","51","8","2","1"
"Willington","19","0","1","0"
"Wilton","15","1","0","0"
"Winchester","26","5","15","3"
"Windham","253","11","25","14"
"Windsor","81","13","24","12"
"Windsor Locks","30","2","5","3"
"Wolcott","17","4","4","1"
"Woodbridge","3","0","1","1"
"Woodbury","19","0","6","2"
"Woodstock","15","0","1","0"
"Grand Total","13,445","1,752","2,231","1,145"
