"Municipality *","FTA Warrants","VOP Warrants","OTI Warrants","Total Warrants"
"Waterbury","2,496","322","5","2,823"
"Waterford","53","12","0","65"
"Watertown","47","5","0","52"
"West Hartford","94","17","0","111"
"West Haven","675","68","0","743"
"Westbrook","34","4","0","38"
"Weston","17","0","0","17"
"Westport","59","7","0","66"
"Wethersfield","62","7","0","69"
"Willington","25","3","0","28"
"Wilton","22","0","0","22"
"Winchester","92","4","0","96"
"Windham","671","133","21","825"
"Windsor","123","17","1","141"
"Windsor Locks","49","7","0","56"
"Wolcott","57","5","0","62"
"Woodbridge","7","3","0","10"
"Woodbury","25","7","0","32"
"Woodstock","17","7","2","26"
"Grand Total","32,677","5,200","81","37,958"
