"Municipality *","Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants 
 For Month","Warrants 
Foreign Served 
For Month"
"Cornwall","1","0","0","0"
"Coventry","21","0","6","3"
"Cromwell","2","0","1","0"
"Danbury","832","59","47","32"
"Darien","9","0","0","0"
"Deep River","16","0","0","0"
"Derby","125","12","3","2"
"Durham","2","2","2","2"
"East Granby","9","0","0","0"
"East Haddam","17","0","1","1"
"East Hampton","17","3","3","2"
"East Hartford","142","32","46","26"
"East Haven","52","17","20","14"
"East Lyme","49","3","2","2"
"East Windsor","34","4","1","0"
"Eastford","5","0","2","0"
"Easton","9","1","0","0"
"Ellington","27","4","4","2"
"Enfield","181","7","14","10"
"Essex","4","2","1","1"
"Fairfield","72","1","13","8"
"Farmington","24","0","3","2"
"Franklin","0","0","0","0"
"Glastonbury","24","9","6","3"
"Goshen","0","2","0","0"
"Granby","15","0","1","1"
"Greenwich","28","1","5","1"
"Griswold","35","8","1","1"
"Groton","165","13","17","10"
"Guilford","18","0","1","1"
