"Municipality *","FTA Warrants","VOP Warrants","OTI Warrants","Total Warrants"
"Cornwall","1","0","0","1"
"Coventry","26","8","0","34"
"Cromwell","23","1","0","24"
"Danbury","1,945","145","4","2,094"
"Darien","27","2","0","29"
"Deep River","23","4","0","27"
"Derby","147","23","0","170"
"Durham","9","1","0","10"
"East Granby","13","1","0","14"
"East Haddam","20","2","0","22"
"East Hampton","34","5","0","39"
"East Hartford","523","102","7","632"
"East Haven","184","42","0","226"
"East Lyme","52","3","0","55"
"East Windsor","49","10","1","60"
"Eastford","5","2","0","7"
"Easton","10","0","0","10"
"Ellington","31","4","0","35"
"Enfield","192","35","1","228"
"Essex","11","0","0","11"
"Fairfield","169","19","0","188"
"Farmington","33","1","0","34"
"Franklin","1","1","0","2"
"Glastonbury","39","2","0","41"
"Goshen","0","0","0","0"
"Granby","22","2","0","24"
"Greenwich","191","25","1","217"
"Griswold","39","12","0","51"
"Groton","450","43","0","493"
"Guilford","35","12","0","47"
