"Municipality *","Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants 
 For Month","Warrants 
Foreign Served 
For Month"
"Cornwall","1","0","0","0"
"Coventry","22","0","3","3"
"Cromwell","4","2","3","3"
"Danbury","811","24","37","15"
"Darien","9","1","0","0"
"Deep River","19","0","0","0"
"Derby","128","2","12","10"
"Durham","2","0","0","0"
"East Granby","12","1","0","0"
"East Haddam","20","0","1","1"
"East Hampton","21","0","1","1"
"East Hartford","146","37","41","23"
"East Haven","49","7","23","11"
"East Lyme","38","4","5","3"
"East Windsor","40","1","2","1"
"Eastford","5","0","4","1"
"Easton","9","0","0","0"
"Ellington","29","2","1","1"
"Enfield","206","10","21","10"
"Essex","3","1","1","1"
"Fairfield","74","2","7","5"
"Farmington","25","4","10","10"
"Franklin","0","0","0","0"
"Glastonbury","24","2","0","0"
"Goshen","0","0","0","0"
"Granby","13","1","1","0"
"Greenwich","31","1","8","4"
"Griswold","40","3","11","6"
"Groton","163","12","17","6"
"Guilford","16","3","4","1"
