"Municipality *","FTA Warrants","VOP Warrants","OTI Warrants","Total Warrants"
"Cornwall","1","0","0","1"
"Coventry","27","8","0","35"
"Cromwell","26","0","0","26"
"Danbury","1,947","143","4","2,094"
"Darien","26","2","0","28"
"Deep River","23","4","0","27"
"Derby","157","24","0","181"
"Durham","9","1","0","10"
"East Granby","12","1","0","13"
"East Haddam","20","2","0","22"
"East Hampton","34","5","0","39"
"East Hartford","513","102","7","622"
"East Haven","195","45","0","240"
"East Lyme","52","4","0","56"
"East Windsor","49","9","1","59"
"Eastford","5","2","0","7"
"Easton","10","0","0","10"
"Ellington","30","4","0","34"
"Enfield","191","35","1","227"
"Essex","10","1","0","11"
"Fairfield","171","19","0","190"
"Farmington","31","4","0","35"
"Franklin","1","1","0","2"
"Glastonbury","36","2","0","38"
"Goshen","0","0","0","0"
"Granby","21","2","0","23"
"Greenwich","189","26","1","216"
"Griswold","43","12","0","55"
"Groton","454","42","0","496"
"Guilford","40","9","0","49"
