"Municipality *","Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants 
 For Month","Warrants 
Foreign Served 
For Month"
"New Fairfield","38","4","0","0"
"New Hartford","11","3","4","4"
"New Haven","1,916","205","211","84"
"New London","116","34","43","22"
"New Milford","89","6","16","8"
"Newington","57","3","3","2"
"Newtown","62","7","1","1"
"Norfolk","4","1","0","0"
"North Branford","9","1","3","2"
"North Canaan","18","2","3","3"
"North Haven","14","3","0","0"
"North Stonington","18","1","1","1"
"Norwalk","170","26","23","9"
"Norwich","123","35","29","12"
"Old Lyme","6","0","0","0"
"Old Saybrook","16","0","5","5"
"Orange","12","2","0","0"
"Oxford","30","2","2","2"
"Plainfield","43","7","11","6"
"Plainville","37","2","5","2"
"Plymouth","26","13","3","1"
"Pomfret","8","0","0","0"
"Portland","15","1","3","3"
"Preston","13","2","1","1"
"Prospect","17","1","0","0"
"Putnam","80","2","6","2"
"Redding","12","0","2","1"
"Ridgefield","31","2","0","0"
"Rocky Hill","13","1","0","0"
"Roxbury","1","0","1","1"
