"Municipality *","Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants 
 For Month","Warrants 
Foreign Served 
For Month"
"Waterbury","1,465","138","210","87"
"Waterford","9","5","4","4"
"Watertown","43","7","7","5"
"West Hartford","77","7","16","7"
"West Haven","209","32","37","21"
"Westbrook","27","0","4","2"
"Weston","10","0","0","0"
"Westport","48","4","8","6"
"Wethersfield","53","8","1","1"
"Willington","20","2","3","1"
"Wilton","16","0","0","0"
"Winchester","27","4","13","8"
"Windham","255","18","23","13"
"Windsor","85","7","10","6"
"Windsor Locks","34","0","6","5"
"Wolcott","19","4","8","7"
"Woodbridge","3","1","1","1"
"Woodbury","20","1","2","0"
"Woodstock","15","4","1","1"
"Grand Total","13,582","1,427","2,111","1,112"
