"Municipality *","FTA Warrants","VOP Warrants","OTI Warrants","Total Warrants"
"Andover","1","0","0","1"
"Ansonia","221","29","0","250"
"Ashford","30","4","1","35"
"Avon","16","1","0","17"
"Barkhamsted","7","1","0","8"
"Beacon Falls","18","9","0","27"
"Berlin","34","10","0","44"
"Bethany","12","0","0","12"
"Bethel","73","10","0","83"
"Bethlehem","8","0","0","8"
"Bloomfield","93","25","0","118"
"Bolton","9","1","0","10"
"Bozrah","2","0","0","2"
"Branford","142","24","0","166"
"Bridgeport","4,289","607","1","4,897"
"Bridgewater","4","1","0","5"
"Bristol","438","41","1","480"
"Brookfield","41","6","0","47"
"Brooklyn","34","5","1","40"
"Burlington","12","1","0","13"
"Canaan","3","0","0","3"
"Canterbury","3","2","1","6"
"Canton","12","1","0","13"
"Chaplin","8","5","2","15"
"Cheshire","41","4","0","45"
"Chester","5","0","0","5"
"Clinton","45","10","0","55"
"Colchester","21","6","0","27"
"Colebrook","0","0","0","0"
"Columbia","6","2","0","8"
