"Municipality *","FTA Warrants","VOP Warrants","OTI Warrants","Total Warrants"
"Cornwall","1","0","0","1"
"Coventry","28","3","0","31"
"Cromwell","22","0","0","22"
"Danbury","1,883","140","4","2,027"
"Darien","31","2","0","33"
"Deep River","19","4","0","23"
"Derby","148","19","0","167"
"Durham","7","1","0","8"
"East Granby","11","1","0","12"
"East Haddam","18","2","0","20"
"East Hampton","28","4","0","32"
"East Hartford","510","110","7","627"
"East Haven","189","37","0","226"
"East Lyme","60","7","0","67"
"East Windsor","59","11","1","71"
"Eastford","5","2","0","7"
"Easton","11","0","0","11"
"Ellington","29","3","0","32"
"Enfield","196","32","1","229"
"Essex","11","0","0","11"
"Fairfield","165","20","0","185"
"Farmington","25","0","0","25"
"Franklin","1","1","0","2"
"Glastonbury","36","3","0","39"
"Goshen","0","0","0","0"
"Granby","19","2","0","21"
"Greenwich","184","24","1","209"
"Griswold","36","13","0","49"
"Groton","451","47","0","498"
"Guilford","34","8","0","42"
