"Municipality *","Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants 
 For Month","Warrants 
Foreign Served 
For Month"
"Haddam","5","3","0","0"
"Hamden","101","19","20","9"
"Hampton","5","0","0","0"
"Hartford","1,780","169","211","84"
"Hartland","2","1","0","0"
"Harwinton","4","0","0","0"
"Hebron","6","0","1","1"
"Kent","7","0","1","0"
"Killingly","126","0","15","12"
"Killingworth","2","0","1","0"
"Lebanon","15","1","0","0"
"Ledyard","58","3","10","9"
"Lisbon","11","1","0","0"
"Litchfield","9","1","3","2"
"Lyme","4","0","0","0"
"Madison","26","1","2","1"
"Manchester","175","29","39","13"
"Mansfield","36","1","9","5"
"Marlborough","6","0","1","1"
"Meriden","310","22","46","24"
"Middlebury","1","1","0","0"
"Middlefield","9","0","0","0"
"Middletown","101","15","32","18"
"Milford","64","10","8","3"
"Monroe","23","4","2","0"
"Montville","56","10","9","9"
"Morris","3","0","0","0"
"Naugatuck","143","11","32","20"
"New Britain","272","62","81","39"
"New Canaan","18","0","3","1"
