"Municipality *","FTA Warrants","VOP Warrants","OTI Warrants","Total Warrants"
"Andover","1","0","0","1"
"Ansonia","217","24","0","241"
"Ashford","25","4","1","30"
"Avon","15","1","0","16"
"Barkhamsted","7","1","0","8"
"Beacon Falls","19","7","0","26"
"Berlin","33","10","0","43"
"Bethany","15","1","0","16"
"Bethel","91","8","0","99"
"Bethlehem","8","0","0","8"
"Bloomfield","88","17","0","105"
"Bolton","8","1","0","9"
"Bozrah","0","0","0","0"
"Branford","150","24","0","174"
"Bridgeport","4,297","606","1","4,904"
"Bridgewater","4","1","0","5"
"Bristol","447","37","1","485"
"Brookfield","50","5","0","55"
"Brooklyn","32","5","1","38"
"Burlington","8","1","0","9"
"Canaan","2","0","0","2"
"Canterbury","3","2","1","6"
"Canton","12","1","0","13"
"Chaplin","8","5","2","15"
"Cheshire","43","3","0","46"
"Chester","5","0","0","5"
"Clinton","51","9","0","60"
"Colchester","24","7","0","31"
"Colebrook","0","0","0","0"
"Columbia","7","2","0","9"
