"Municipality *","Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants 
 For Month","Warrants 
Foreign Served 
For Month"
"Andover","1","0","0","0"
"Ansonia","114","5","21","11"
"Ashford","22","3","0","0"
"Avon","7","0","4","4"
"Barkhamsted","4","1","1","1"
"Beacon Falls","20","3","3","1"
"Berlin","39","1","1","1"
"Bethany","10","0","0","0"
"Bethel","40","4","7","4"
"Bethlehem","5","1","0","0"
"Bloomfield","45","5","10","5"
"Bolton","7","1","0","0"
"Bozrah","0","0","3","3"
"Branford","66","6","3","2"
"Bridgeport","763","124","194","92"
"Bridgewater","4","1","1","1"
"Bristol","179","13","36","14"
"Brookfield","45","3","5","0"
"Brooklyn","25","0","8","1"
"Burlington","6","1","2","1"
"Canaan","0","0","0","0"
"Canterbury","3","0","1","0"
"Canton","9","0","2","0"
"Chaplin","14","0","2","0"
"Cheshire","28","3","4","2"
"Chester","3","0","0","0"
"Clinton","47","4","14","9"
"Colchester","21","1","4","3"
"Colebrook","0","0","1","1"
"Columbia","8","0","0","0"
