"Municipality *","FTA Warrants","VOP Warrants","OTI Warrants","Total Warrants"
"New Fairfield","41","1","1","43"
"New Hartford","12","6","0","18"
"New Haven","3,926","744","1","4,671"
"New London","1,102","120","1","1,223"
"New Milford","141","9","0","150"
"Newington","51","13","0","64"
"Newtown","65","8","0","73"
"Norfolk","6","1","0","7"
"North Branford","27","3","0","30"
"North Canaan","19","2","0","21"
"North Haven","52","8","0","60"
"North Stonington","18","4","0","22"
"Norwalk","1,743","127","0","1,870"
"Norwich","435","145","2","582"
"Old Lyme","21","2","0","23"
"Old Saybrook","45","7","0","52"
"Orange","21","0","0","21"
"Oxford","39","5","0","44"
"Plainfield","95","16","5","116"
"Plainville","89","8","0","97"
"Plymouth","70","3","0","73"
"Pomfret","12","10","0","22"
"Portland","22","8","0","30"
"Preston","14","3","0","17"
"Prospect","16","3","0","19"
"Putnam","117","30","1","148"
"Redding","17","1","0","18"
"Ridgefield","46","6","0","52"
"Rocky Hill","38","5","0","43"
"Roxbury","1","0","0","1"
