"Municipality *","Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants 
 For Month","Warrants 
Foreign Served 
For Month"
"New Fairfield","34","2","1","0"
"New Hartford","14","3","4","3"
"New Haven","1,898","142","216","99"
"New London","126","34","30","13"
"New Milford","96","11","7","6"
"Newington","57","3","6","4"
"Newtown","57","3","14","8"
"Norfolk","7","1","1","1"
"North Branford","10","1","5","3"
"North Canaan","16","0","3","2"
"North Haven","13","3","3","1"
"North Stonington","18","1","1","0"
"Norwalk","175","25","35","18"
"Norwich","125","29","39","20"
"Old Lyme","6","0","2","1"
"Old Saybrook","19","1","1","1"
"Orange","12","0","3","1"
"Oxford","32","1","2","2"
"Plainfield","44","13","3","2"
"Plainville","38","3","12","5"
"Plymouth","26","4","8","4"
"Pomfret","8","0","0","0"
"Portland","15","0","4","4"
"Preston","13","2","0","0"
"Prospect","16","1","0","0"
"Putnam","86","5","5","2"
"Redding","13","0","2","0"
"Ridgefield","28","1","2","0"
"Rocky Hill","11","1","4","3"
"Roxbury","1","0","2","1"
