"Municipality *","FTA Warrants","VOP Warrants","OTI Warrants","Total Warrants"
"New Fairfield","25","4","0","29"
"New Hartford","10","4","0","14"
"New Haven","3,767","549","4","4,320"
"New London","923","87","2","1,012"
"New Milford","88","6","0","94"
"Newington","56","13","1","70"
"Newtown","70","7","1","78"
"Norfolk","7","1","0","8"
"North Branford","24","6","0","30"
"North Canaan","6","1","0","7"
"North Haven","47","7","0","54"
"North Stonington","20","5","0","25"
"Norwalk","1,656","141","0","1,797"
"Norwich","436","119","3","558"
"Old Lyme","26","4","0","30"
"Old Saybrook","71","1","0","72"
"Orange","14","3","0","17"
"Oxford","20","6","0","26"
"Plainfield","94","21","9","124"
"Plainville","95","12","1","108"
"Plymouth","83","6","0","89"
"Pomfret","8","7","0","15"
"Portland","34","7","0","41"
"Preston","38","3","1","42"
"Prospect","14","3","0","17"
"Putnam","90","24","2","116"
"Redding","18","1","1","20"
"Ridgefield","36","5","0","41"
"Rocky Hill","35","1","1","37"
"Roxbury","0","0","0","0"
