"Municipality *","Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants  
For Month","Warrants 
Foreign Served 
For Month"
"New Fairfield","27","5","5","2"
"New Hartford","9","1","0","0"
"New Haven","896","221","241","79"
"New London","103","32","49","19"
"New Milford","62","7","15","6"
"Newington","57","6","17","10"
"Newtown","56","4","6","6"
"Norfolk","5","0","2","2"
"North Branford","8","2","3","1"
"North Canaan","6","0","0","0"
"North Haven","13","2","4","3"
"North Stonington","25","6","1","0"
"Norwalk","158","33","40","8"
"Norwich","162","33","49","25"
"Old Lyme","8","0","0","0"
"Old Saybrook","15","3","1","1"
"Orange","5","1","1","0"
"Oxford","19","2","9","6"
"Plainfield","40","10","13","7"
"Plainville","28","6","3","3"
"Plymouth","17","6","4","2"
"Pomfret","6","1","2","2"
"Portland","21","5","0","0"
"Preston","34","3","3","3"
"Prospect","15","0","1","1"
"Putnam","67","6","6","3"
"Redding","11","2","0","0"
"Ridgefield","21","3","2","1"
"Rocky Hill","12","3","3","1"
"Roxbury","0","0","0","0"
