"Municipality *","Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants 
 For Month","Warrants 
Foreign Served 
For Month"
"Waterbury","1,387","171","235","84"
"Waterford","11","11","3","3"
"Watertown","44","12","11","5"
"West Hartford","70","12","16","5"
"West Haven","217","40","49","22"
"Westbrook","26","2","1","1"
"Weston","9","0","0","0"
"Westport","45","1","0","0"
"Wethersfield","51","4","19","15"
"Willington","18","0","2","1"
"Wilton","14","1","1","0"
"Winchester","23","2","9","8"
"Windham","249","13","25","15"
"Windsor","81","6","8","6"
"Windsor Locks","30","3","4","4"
"Wolcott","18","3","4","2"
"Woodbridge","3","0","1","0"
"Woodbury","19","1","0","0"
"Woodstock","15","0","2","2"
"Grand Total","13,300","1,588","2,204","1,093"
