"Municipality *","FTA Warrants","VOP Warrants","OTI Warrants","Total Warrants"
"Haddam","22","0","0","22"
"Hamden","323","50","0","373"
"Hampton","7","3","0","10"
"Hartford","2,314","607","8","2,929"
"Hartland","4","0","0","4"
"Harwinton","5","0","0","5"
"Hebron","10","3","0","13"
"Kent","5","1","0","6"
"Killingly","132","31","2","165"
"Killingworth","7","0","0","7"
"Lebanon","10","7","0","17"
"Ledyard","96","10","0","106"
"Lisbon","7","3","0","10"
"Litchfield","12","3","0","15"
"Lyme","6","3","0","9"
"Madison","56","7","0","63"
"Manchester","394","93","1","488"
"Mansfield","52","8","0","60"
"Marlborough","6","1","0","7"
"Meriden","513","133","0","646"
"Middlebury","13","0","0","13"
"Middlefield","9","3","0","12"
"Middletown","334","40","0","374"
"Milford","154","24","0","178"
"Monroe","36","3","0","39"
"Montville","85","22","0","107"
"Morris","2","2","0","4"
"Naugatuck","232","22","1","255"
"New Britain","904","226","0","1,130"
"New Canaan","36","2","0","38"
