"Municipality *","Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants 
 For Month","Warrants 
Foreign Served 
For Month"
"Waterbury","1,414","177","283","121"
"Waterford","9","3","7","6"
"Watertown","41","3","17","13"
"West Hartford","70","6","6","1"
"West Haven","216","35","36","20"
"Westbrook","28","2","1","1"
"Weston","9","0","1","0"
"Westport","45","1","0","0"
"Wethersfield","52","8","11","9"
"Willington","19","1","0","0"
"Wilton","14","0","1","1"
"Winchester","26","6","13","8"
"Windham","250","28","23","14"
"Windsor","84","6","21","14"
"Windsor Locks","31","3","2","0"
"Wolcott","18","6","3","2"
"Woodbridge","3","1","0","0"
"Woodbury","19","0","2","1"
"Woodstock","15","0","0","0"
"Grand Total","13,452","1,567","2,340","1,204"
