"Municipality *","FTA Warrants","VOP Warrants","OTI Warrants","Total Warrants"
"Andover","1","0","0","1"
"Ansonia","227","25","0","252"
"Ashford","25","4","1","30"
"Avon","16","4","0","20"
"Barkhamsted","10","1","0","11"
"Beacon Falls","20","8","0","28"
"Berlin","33","6","0","39"
"Bethany","19","0","0","19"
"Bethel","73","8","0","81"
"Bethlehem","11","0","0","11"
"Bloomfield","91","20","0","111"
"Bolton","6","1","0","7"
"Bozrah","1","0","0","1"
"Branford","155","23","0","178"
"Bridgeport","4,233","598","1","4,832"
"Bridgewater","3","1","0","4"
"Bristol","430","42","1","473"
"Brookfield","38","6","0","44"
"Brooklyn","33","8","1","42"
"Burlington","6","1","0","7"
"Canaan","2","0","0","2"
"Canterbury","3","4","1","8"
"Canton","13","2","0","15"
"Chaplin","9","5","2","16"
"Cheshire","41","1","0","42"
"Chester","5","2","0","7"
"Clinton","44","9","0","53"
"Colchester","22","4","0","26"
"Colebrook","0","0","0","0"
"Columbia","6","2","0","8"
