,Municipality,Month,FTA Warrants,VOP Warrants,OTI Warrants,Total Warrants,Warrants with LEA,Issued Warrants,Served Warrants  For Month,Warrants Foreign Served
0,Andover,Jan,1,0,0,1,1,0,0,0
1,Ansonia,Jan,238,30,0,268,120,10,17,9
2,Ashford,Jan,24,1,1,26,21,0,0,0
3,Avon,Jan,18,3,0,21,7,2,1,1
4,Barkhamsted,Jan,6,1,0,7,4,0,0,0
5,Beacon Falls,Jan,21,10,0,31,25,1,1,1
6,Berlin,Jan,36,12,0,48,42,2,6,4
7,Bethany,Jan,15,1,0,16,10,0,0,0
8,Bethel,Jan,87,8,0,95,38,3,3,2
9,Bethlehem,Jan,7,0,0,7,5,1,0,0
10,Bloomfield,Jan,89,17,0,106,46,7,6,1
11,Bolton,Jan,7,1,0,8,7,1,0,0
12,Bozrah,Jan,0,0,0,0,0,0,0,0
13,Branford,Jan,142,24,0,166,61,8,12,8
14,Bridgeport,Jan,4298,620,1,4919,752,180,187,94
15,Bridgewater,Jan,5,1,0,6,6,0,0,0
16,Bristol,Jan,463,40,1,504,180,36,36,22
17,Brookfield,Jan,53,3,0,56,34,4,4,1
18,Brooklyn,Jan,36,6,2,44,26,1,1,0
19,Burlington,Jan,7,1,0,8,6,0,2,1
20,Canaan,Jan,2,0,0,2,0,0,1,0
21,Canterbury,Jan,7,2,1,10,3,0,3,1
22,Canton,Jan,13,1,0,14,9,1,2,1
23,Chaplin,Jan,8,5,2,15,14,0,1,0
24,Cheshire,Jan,42,4,0,46,26,13,13,11
25,Chester,Jan,6,0,0,6,3,0,0,0
26,Clinton,Jan,48,11,0,59,48,1,2,1
27,Colchester,Jan,19,10,0,29,20,0,0,0
28,Colebrook,Jan,1,0,0,1,1,0,0,0
29,Columbia,Jan,6,2,0,8,8,0,0,0
30,Cornwall,Jan,1,0,0,1,1,0,0,0
31,Coventry,Jan,27,8,0,35,23,1,1,1
32,Cromwell,Jan,26,0,0,26,3,0,2,2
33,Danbury,Jan,1947,143,4,2094,795,31,46,17
34,Darien,Jan,26,2,0,28,8,0,0,0
